configuration_id,particle_id,x,y,z
44,5,229.8713407602234,317.8222263907345,26.305923825950593
45,0,238.81458977867743,332.842965538631,38.185247293825135
45,1,239.58603256538328,331.0005764947814,43.31883543955356
45,2,243.62853601022815,320.408476585355,33.94855062480879
45,3,244.30222287721955,321.4278344037619,28.895088989749432
45,4,242.35724680875992,316.9956349054256,14.513089745271529
45,5,243.1522730109061,310.7986775040639,21.391364272477983
46,0,223.20994427002842,363.4254736674439,41.31334185384723
46,1,224.54883610034491,364.8134517536164,47.47033989500579
46,2,230.10299031959497,368.07612178463046,49.70114853419909
46,3,237.73907205254952,361.8531437164523,56.347469558643525
46,4,238.4372995398476,363.92216705118005,55.23150927876247
46,5,243.70737566701294,367.4484216242815,45.26735193675014
47,0,209.27412487663577,366.0199934298372,31.58992387714503
47,1,212.07686466448587,378.12742716432234,35.57485989136703
47,2,210.83442479239056,374.7391409944122,31.786092051495427
47,3,208.81236541508946,370.5425724340095,26.566475653201348
47,4,209.45817158143072,367.71566816807007,19.377424034024372
47,5,214.1287900778528,364.3532650834889,22.449377598972255
48,0,195.7328507090443,352.95068151934777,43.98524428505557
48,1,195.37483709086374,349.38137946070196,44.9496825801097
48,2,186.19502069089344,337.9838372893164,50.04017632181579
48,3,181.70056052415057,339.2938548377689,53.12101438198684
48,4,179.87142748058602,346.2605746588909,48.62660751130602
48,5,174.25943355075205,344.3428699247983,44.33659553889001
49,0,198.7664545738051,414.23746375476804,63.23008396998688
49,1,188.62332184952243,418.18820714307543,61.08821099857592
49,2,187.27195385429724,411.3818244895211,64.11416644088136
49,3,186.0299936040312,399.5152439389539,56.98148928548696
49,4,173.09102150408955,390.70115696254294,67.98073881879971
49,5,169.8498960334813,386.6448416604662,68.47324321120169
50,0,192.60424861977253,376.5490828297899,62.4420731701366
50,1,187.6324999013591,375.0086529285202,61.197493698512396
50,2,179.90312885041175,374.2115747389577,51.36996804841492
50,3,184.50527704218229,381.3815096719131,49.91622666164833
50,4,176.6417562334888,389.69514006238427,58.26558633527083
50,5,172.92767399969685,394.94088053013485,65.27372447100072
51,0,194.38946164323193,369.99537342483467,79.05112836226307
51,1,193.24210694563718,372.6283517906272,73.39772635743266
51,2,196.21661172384228,368.4797236244726,74.24372153624711
51,3,191.20460335106745,368.83737894733525,70.90082347883869
51,4,193.28490220873252,369.7819014956914,66.51482054183258
51,5,198.7394128086097,365.0281991410287,60.660095162531505
52,0,192.03764751754838,377.8931843080012,72.61827856262569
52,1,200.9378936361841,374.3621554512818,78.37455699324869
